#,Directive number,Title,Date,Page on gov.il,File name in zip,File title,File URL,Note
92,135,הכנות רוקחיות מורכבות ובסיכון גבוה בבתי מרקחת,2017-12-31T22:00:00Z,https://www.gov.il/he/Departments/policies/dr-135,files_circulars_dr_DR_135.pdf,הכנות רוקחיות מורכבות ובסיכון גבוה בבתי מרקחת,https://www.gov.il/BlobFolder/policy/dr-135/he/files_circulars_dr_DR_135.pdf,
93,EX-015/02,בקשה להוצאת אישור יצרן/יבואן תכשירים רפואיים,2017-12-31T22:00:00Z,https://www.gov.il/he/Departments/policies/ex-015-02,files_circulars_iscp-ex_EX-015-02.pdf,בקשה להוצאת אישור יצרן/יבואן תכשירים רפואיים,https://www.gov.il/BlobFolder/policy/ex-015-02/he/files_circulars_iscp-ex_EX-015-02.pdf,
94,PRA-004/01,הנחיות להגשה ועדכון עלונים לרופא ולצרכן,2017-12-31T22:00:00Z,https://www.gov.il/he/Departments/policies/pra-004-01,files_circulars_dr_PRA-004-01.pdf,הנחיות להגשה ועדכון עלונים לרופא ולצרכן,https://www.gov.il/BlobFolder/policy/pra-004-01/he/files_circulars_dr_PRA-004-01.pdf,
95,DR_400581418,שאלות ותשובות בנושא דיווחי תופעות לוואי ומידע בטיחותי חדש ותוכניות ניהול סיכונים,2017-12-27T22:00:00Z,https://www.gov.il/he/Departments/policies/dr-400581418,files_circulars_dr_DR_400581418.pdf,שאלות ותשובות בנושא דיווחי תופעות לוואי ומידע בטיחותי חדש ותוכניות ניהול סיכונים,https://www.gov.il/BlobFolder/policy/dr-400581418/he/files_circulars_dr_DR_400581418.pdf,
96,DR_01177109,שאלות ותשובות בנושא מסלול נוטיפיקציה לעדכון עלונים,2017-11-18T22:00:00Z,https://www.gov.il/he/Departments/policies/dr-01177109,files_circulars_dr_DR_01177109.pdf,שאלות ותשובות בנושא מסלול נוטיפיקציה לעדכון עלונים,https://www.gov.il/BlobFolder/policy/dr-01177109/he/files_circulars_dr_DR_01177109.pdf,
97,160,מתן חיסון נגד שפעת על ידי רוקח בבית מרקחת,2017-08-31T21:00:00Z,https://www.gov.il/he/Departments/policies/dr-160,files_regulation_dr_160.pdf,מתן חיסון נגד שפעת על ידי רוקח בבית מרקחת,https://www.gov.il/BlobFolder/policy/dr-160/he/files_regulation_dr_160.pdf,
98,DR_400103417,הוראה שעה - מסלול נוטיפיקציה לעדכון עלונים והחמרות בעלונים כולל שאלות ותשובות,2017-08-16T21:00:00Z,https://www.gov.il/he/Departments/policies/dr-400103417,files_circulars_dr_DR_400103417.pdf,הוראת שעה - מסלול נוטיפיקציה לעדכון עלונים והחמרות בעלונים כולל שאלות ותשובות,https://www.gov.il/BlobFolder/policy/dr-400103417/he/files_circulars_dr_DR_400103417.pdf,
99,PUB-148/01,תכשירים נוזליים למתן פומי המכילים אתנול – בטיחות בילדים,2017-04-30T21:00:00Z,https://www.gov.il/he/departments/policies/pub-148-01,files_circulars_dr_PUB-148-01.pdf,תכשירים נוזליים למתן פומי המכילים אתנול – בטיחות בילדים,https://www.gov.il/BlobFolder/policy/pub-148-01/he/files_circulars_dr_PUB-148-01.pdf,
100,EX-016/01,דיקת איכות של תכשירים רפואיים רשומים ומשווקים במסגרת פיקוח שלאחר רישום (Post Marketing-PM),2017-02-12T22:00:00Z,https://www.gov.il/he/Departments/policies/ex-016-01,files_circulars_iscp-ex_EX-016-01.pdf,בדיקת איכות של תכשירים רפואיים רשומים ומשווקים במסגרת פיקוח שלאחר רישום (Post Marketing-PM),https://www.gov.il/BlobFolder/policy/ex-016-01/he/files_circulars_iscp-ex_EX-016-01.pdf,
101,144,נוהל פיקוח ובקרה על ניסויים רפואיים בבני אדם,2017-01-31T22:00:00Z,https://www.gov.il/he/Departments/policies/dr-144,files_circulars_dr_DR_144.pdf,נוהל פיקוח ובקרה על ניסויים רפואיים בבני אדם,https://www.gov.il/BlobFolder/policy/dr-144/he/files_circulars_dr_DR_144.pdf,
